Player,Symbol,Quantity,PurchasePrice,Date
Thomas,$CASH,1,812.87,2024-12-07
Thomas,AAPL,6,278.78,2024-12-07
Thomas,ASML,32,1099.47,2024-12-07
Thomas,DKNG,34,34,2024-12-07
Thomas,EA,154,203.92,2024-12-07
Thomas,FICO,4,1798.53,2024-12-07
Thomas,MCD,10,311.23,2024-12-07
Thomas,META,14,673.42,2024-12-07
Thomas,RBLX,12,96.28,2024-12-07
Thomas,SPY,3,685.69,2024-12-07
Thomas,TSLA,15,455,2024-12-07
Jack,$CASH,1,673.79,2024-12-07
Jack,NVDA,75,182.41,2024-12-07
Jack,AVGO,30,390.24,2024-12-07
Jack,AMD,50,217.97,2024-12-07
Jack,GOOGL,31,321.27,2024-12-07
Jack,TSM,30,294.72,2024-12-07
Jack,WMT,60,115.11,2024-12-07
Jack,SPY,15,685.69,2024-12-07
Jack,MU,25,237.22,2024-12-07
Jack,OKLO,28,104.67,2024-12-07
Jack,LLY,18,1010.31,2024-12-07
